ID,Field of Study,personal interest,Family advice,Consultant's recommendation,Future work and income,Social position,University brand,Near the university,Possibilities,gain experience,interest,Contnuing education,change field,refuse,state1,state2,sex,Employment state,Family Income,Location,start,end
V8FS,علوم پایه,,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,2,3,5,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-17:42:03,1402/01/15-17:43:19
iYYi,علوم انسانی,علاقه شخصی,,توصیه مشاور,آینده کاری و درآمدی,موقعیت اجتماعی,,,,,5,5,3,4,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/15-17:40:36,1402/01/15-17:42:11
0hgT,علوم انسانی,,,,آینده کاری و درآمدی,,,,,,4,3,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/15-17:39:36,1402/01/15-18:01:27
JJP1,فنی و مهندسی,علاقه شخصی,,,,,,,,کسب تجربه یک روند جدید در زندگی,5,5,1,1,خراسان رضوی,خراسان رضوی,خانم,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/15-17:38:04,1402/01/15-17:39:22
IiDD,علوم پایه,علاقه شخصی,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,5,5,1,1,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-17:38:03,1402/01/15-17:39:34
2qzg,علوم پایه,,,,,موقعیت اجتماعی,برند دانشگاه از نظر علمی,نزدیک بودن دانشگاه به محل زندگی,امکانات رفاهی دانشگاه (خوابگاه و ...),,3,3,3,3,خراسان رضوی,خراسان رضوی,خانم,غیرشاغل,بیش از 20 میلیون تومان,شهر (مرکز استان),1402/01/15-17:35:26,1402/01/15-17:37:04
2qX0,فنی و مهندسی,علاقه شخصی,,,آینده کاری و درآمدی,,,,,,5,4,1,1,خراسان رضوی,خراسان رضوی,آقا,شاغل (تمام وقت),بین 5 تا 10 میلیون تومان,شهر (مرکز استان),1402/01/15-17:33:32,1402/01/15-17:34:40
JquV,هنر و معماری,,,,,,,نزدیک بودن دانشگاه به محل زندگی,,,2,1,2,5,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 10 تا 20 میلیون تومان,شهر (مرکز استان),1402/01/15-16:14:11,1402/01/15-16:16:15
dyyZ,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,5,1,3,خراسان رضوی,خراسان رضوی,آقا,غیرشاغل,بین 5 تا 10 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-16:09:44,1402/01/15-16:12:18
URSW,فنی و مهندسی,علاقه شخصی,,,,,,,,,5,1,3,1,قزوین,خراسان رضوی,آقا,غیرشاغل,بیش از 20 میلیون تومان,شهر (غیر از مرکز استان),1402/01/15-12:09:26,1402/01/15-12:10:51
LtT3,فنی و مهندسی,,,,آینده کاری و درآمدی,موقعیت اجتماعی,,,,کسب تجربه یک روند جدید در زندگی,1,2,2,4,خراسان رضوی,خراسان رضوی,آقا,شاغل (نیمه وقت),کمتر از 5 میلیون تومان,شهر (مرکز استان),1402/01/15-12:00:39,1402/01/15-12:02:09
